time,target_inclination,sensor_inclination,target_orientation,sensor_orientation
15.79,15,14.877,90,87.364
15.81,15,14.962,90,86.737
15.83,15,15.083,90,86.536
15.85,15,15.158,90,86.378
15.88,15,15.212,90,86.31
15.9,15,15.29,90,86.398
15.92,15,15.222,90,86.818
15.94,15,15.091,90,86.949
15.96,15,15.021,90,87.036
15.98,15,15.045,90,87.466
16,15,15.022,90,87.765
16.02,15,14.967,90,87.879
16.04,15,15.043,90,87.881
16.06,15,15.226,90,87.486
16.08,15,15.392,90,86.462
16.1,15,15.487,90,85.303
16.12,15,15.567,90,84.703
16.14,15,15.626,90,84.348
16.16,15,15.538,90,84.842
16.18,15,15.322,90,85.855
16.2,15,15.117,90,86.933
16.22,15,14.968,90,87.615
16.24,15,14.771,90,88.285
16.26,15,14.698,90,89.12
16.28,15,14.759,90,89.823
16.3,15,14.876,90,89.692
16.32,15,15.014,90,89.085
16.34,15,15.117,90,88.551
16.36,15,15.22,90,88.044
16.38,15,15.315,90,87.534
16.4,15,15.353,90,87.233
16.42,15,15.217,90,87.415
16.44,15,15.039,90,87.786
16.46,15,14.923,90,87.923
16.48,15,14.822,90,87.85
16.5,15,14.72,90,88.056
16.52,15,14.661,90,88.479
16.54,15,14.728,90,88.85
16.57,15,14.781,90,89.042
16.59,15,14.748,90,89.335
16.61,15,14.793,90,89.714
16.63,15,14.892,90,89.869
16.65,15,14.951,90,89.894
16.67,15,14.91,90,89.689
16.69,15,14.887,90,89.239
16.71,15,14.947,90,88.818
16.73,15,14.984,90,88.464
16.75,15,14.971,90,88.039
16.77,15,14.999,90,87.742
16.79,15,15.081,90,87.672
16.81,15,15.147,90,87.511
16.83,15,15.1,90,87.077
16.85,15,15.003,90,86.682
16.87,15,14.97,90,86.285
16.89,15,15.023,90,86.138
16.91,15,15.047,90,86.21
16.93,15,15.001,90,86.329
16.95,15,14.982,90,86.405
16.97,15,14.997,90,86.465
16.99,15,14.965,90,86.7
17.01,15,14.929,90,86.718
17.03,15,14.88,90,86.856
17.05,15,14.962,90,87.403
17.07,15,15.05,90,87.847
17.09,15,14.829,90,88.044
17.11,15,14.662,90,88.163
17.13,15,14.65,90,88.234
17.15,15,14.641,90,88.241
17.18,15,14.641,90,88.281
17.2,15,14.839,90,87.774
17.22,15,15.05,90,86.868
17.24,15,15.321,90,86.129
17.26,15,15.501,90,85.434
17.28,15,15.579,90,84.614
17.3,15,15.758,90,83.838
17.32,15,15.857,90,83.828
17.34,15,15.658,90,84.206
17.36,15,15.41,90,85.148
17.38,15,15.255,90,86.148
17.4,15,15.131,90,87.293
17.42,15,15.041,90,87.776
17.44,15,15.012,90,88.009
17.46,15,15.088,90,88.257
17.48,15,15.108,90,87.952
17.5,15,14.987,90,87.223
17.52,15,15.016,90,87.215
17.54,15,15.175,90,87.533
17.56,15,15.238,90,87.848
17.58,15,15.081,90,87.763
17.6,15,14.985,90,87.696
17.62,15,15.077,90,87.741
17.64,15,15.084,90,87.764
17.66,15,14.868,90,87.716
17.68,15,14.836,90,87.853
17.7,15,14.921,90,87.878
17.72,15,15.037,90,87.817
17.74,15,15.079,90,87.858
17.76,15,15.115,90,87.884
17.78,15,15.24,90,87.808
17.8,15,15.287,90,87.506
17.83,15,15.232,90,87.052
17.85,15,15.228,90,86.669
17.87,15,15.321,90,86.068
