time,continuous_time,target_inclination,sensor_inclination,target_orientation,sensor_orientation
6.32,6.32,10,11.64,90,88.27
6.34,6.34,10,11.68,90,88.15
6.37,6.37,10,11.7,90,88.23
6.39,6.39,10,11.69,90,88.66
6.41,6.41,10,11.68,90,89.1
6.43,6.43,10,11.69,90,89.36
6.45,6.45,10,11.69,90,89.43
6.47,6.47,10,11.7,90,89.66
6.49,6.49,10,11.67,90,89.86
6.51,6.51,10,11.62,90,89.75
6.53,6.53,10,11.59,90,89.51
6.55,6.55,10,11.67,90,89.57
6.57,6.57,10,11.79,90,89.63
6.59,6.59,10,11.77,90,89.61
6.61,6.61,10,11.73,90,89.61
6.63,6.63,10,11.79,90,89.74
6.65,6.65,10,11.8,90,89.91
6.67,6.67,10,11.71,90,89.91
6.69,6.69,10,11.65,90,89.75
6.71,6.71,10,11.72,90,90.04
6.73,6.73,10,11.68,90,90.28
6.76,6.76,10,11.65,90,90.12
6.78,6.78,10,11.69,90,90.3
6.8,6.8,10,11.68,90,90.93
6.82,6.82,10,11.56,90,90.9
6.84,6.84,10,11.47,90,90.97
6.86,6.86,10,11.49,90,91.32
6.88,6.88,10,11.48,90,91.53
6.9,6.9,10,11.43,90,91.7
6.92,6.92,10,11.4,90,91.93
6.94,6.94,10,11.41,90,92
6.96,6.96,10,11.42,90,92
6.98,6.98,10,11.43,90,92.12
7,7,10,11.45,90,92.33
7.02,7.02,10,11.42,90,92.41
7.04,7.04,10,11.37,90,92.53
7.06,7.06,10,11.37,90,92.7
7.08,7.08,10,11.34,90,92.72
7.1,7.1,10,11.24,90,92.78
7.12,7.12,10,11.23,90,92.88
7.15,7.15,10,11.34,90,92.85
7.17,7.17,10,11.33,90,92.73
7.19,7.19,10,11.27,90,92.78
7.21,7.21,10,11.24,90,92.91
7.23,7.23,10,11.18,90,93.03
7.25,7.25,10,11.15,90,93.11
7.27,7.27,10,11.14,90,93.15
7.29,7.29,10,11.15,90,93.04
7.31,7.31,10,11.18,90,92.88
7.33,7.33,10,11.16,90,92.92
7.35,7.35,10,11.12,90,92.96
7.37,7.37,10,11.14,90,92.78
7.39,7.39,10,11.13,90,92.71
7.41,7.41,10,11.06,90,92.9
7.43,7.43,10,11,90,93.02
7.45,7.45,10,11.04,90,93.05
7.47,7.47,10,11.04,90,93.18
7.49,7.49,10,10.94,90,93.37
7.52,7.52,10,10.95,90,93.32
7.54,7.54,10,10.93,90,93.35
7.56,7.56,10,10.9,90,93.46
7.58,7.58,10,10.88,90,93.39
7.6,7.6,10,10.86,90,93.34
7.62,7.62,10,10.85,90,93.44
7.64,7.64,10,10.87,90,93.45
7.66,7.66,10,10.84,90,93.28
7.68,7.68,10,10.84,90,93.32
7.7,7.7,10,10.84,90,93.28
7.72,7.72,10,10.8,90,93.19
7.74,7.74,10,10.78,90,93.2
7.76,7.76,10,10.79,90,93.22
7.78,7.78,10,10.8,90,93.18
7.8,7.8,10,10.8,90,93.07
7.82,7.82,10,10.82,90,92.95
7.84,7.84,10,10.84,90,92.83
7.86,7.86,10,10.87,90,92.66
7.88,7.88,10,10.89,90,92.57
7.91,7.91,10,10.89,90,92.49
7.93,7.93,10,10.89,90,92.41
7.95,7.95,10,10.86,90,92.62
7.97,7.97,10,10.82,90,92.83
7.99,7.99,10,10.77,90,92.99
8.01,8.01,10,10.72,90,93.14
8.03,8.03,10,10.69,90,93.23
8.05,8.05,10,10.68,90,93.23
8.07,8.07,10,10.69,90,93.2
8.09,8.09,10,10.72,90,93.14
8.11,8.11,10,10.74,90,93.06
8.13,8.13,10,10.76,90,92.97
8.15,8.15,10,10.77,90,92.87
8.17,8.17,10,10.79,90,92.79
8.19,8.19,10,10.79,90,92.77
8.21,8.21,10,10.79,90,92.76
8.23,8.23,10,10.8,90,92.72
8.25,8.25,10,10.8,90,92.73
8.27,8.27,10,10.79,90,92.75
8.3,8.3,10,10.77,90,92.76
8.32,8.32,10,10.77,90,92.81
8.34,8.34,10,10.75,90,92.92
8.36,8.36,10,10.72,90,93.02
8.38,8.38,10,10.73,90,92.99
8.4,8.4,10,10.75,90,92.95
8.42,8.42,10,10.73,90,93.05
8.44,8.44,10,10.71,90,93.13
8.46,8.46,10,10.71,90,93.09
8.48,8.48,10,10.74,90,93.06
8.5,8.5,10,10.76,90,93.04
8.52,8.52,10,10.76,90,92.95
8.54,8.54,10,10.78,90,92.86
8.56,8.56,10,10.79,90,92.83
8.58,8.58,10,10.78,90,92.79
8.6,8.6,10,10.77,90,92.76
8.62,8.62,10,10.78,90,92.76
8.64,8.64,10,10.76,90,92.78
8.66,8.66,10,10.75,90,92.76
8.69,8.69,10,10.75,90,92.78
8.71,8.71,10,10.74,90,92.85
8.73,8.73,10,10.7,90,92.97
8.75,8.75,10,10.66,90,93.13
8.77,8.77,10,10.64,90,93.27
8.79,8.79,10,10.62,90,93.37
8.81,8.81,10,10.6,90,93.49
8.83,8.83,10,10.61,90,93.54
8.85,8.85,10,10.62,90,93.61
8.87,8.87,10,10.6,90,93.72
8.89,8.89,10,10.57,90,93.83
8.91,8.91,10,10.57,90,93.81
8.93,8.93,10,10.62,90,93.76
8.95,8.95,10,10.6,90,93.8
8.97,8.97,10,10.56,90,93.77
8.99,8.99,10,10.57,90,93.65
9.01,9.01,10,10.59,90,93.66
9.03,9.03,10,10.57,90,93.78
9.05,9.05,10,10.55,90,93.76
9.08,9.08,10,10.57,90,93.65
9.1,9.1,10,10.62,90,93.55
9.12,9.12,10,10.64,90,93.3
9.14,9.14,10,10.69,90,92.96
9.16,9.16,10,10.74,90,92.81
9.18,9.18,10,10.77,90,92.76
9.2,9.2,10,10.77,90,92.65
9.22,9.22,10,10.76,90,92.68
9.24,9.24,10,10.76,90,92.79
9.26,9.26,10,10.75,90,92.9
9.28,9.28,10,10.73,90,92.97
9.3,9.3,10,10.72,90,93.13
9.32,9.32,10,10.73,90,93.17
9.34,9.34,10,10.73,90,93.17
9.36,9.36,10,10.67,90,93.32
9.38,9.38,10,10.63,90,93.46
9.4,9.4,10,10.59,90,93.51
9.42,9.42,10,10.55,90,93.58
9.45,9.45,10,10.54,90,93.61
9.47,9.47,10,10.51,90,93.55
9.49,9.49,10,10.46,90,93.56
9.51,9.51,10,10.44,90,93.67
9.53,9.53,10,10.43,90,93.75
9.55,9.55,10,10.39,90,93.78
9.57,9.57,10,10.36,90,93.86
9.59,9.59,10,10.38,90,93.96
9.61,9.61,10,10.38,90,93.89
9.63,9.63,10,10.4,90,93.83
9.65,9.65,10,10.41,90,93.83
9.67,9.67,10,10.44,90,93.79
9.69,9.69,10,10.47,90,93.69
9.71,9.71,10,10.44,90,93.63
9.73,9.73,10,10.45,90,93.55
9.75,9.75,10,10.48,90,93.4
9.77,9.77,10,10.5,90,93.26
9.79,9.79,10,10.51,90,93.12
9.81,9.81,10,10.55,90,93
9.84,9.84,10,10.58,90,92.96
9.86,9.86,10,10.6,90,92.99
9.88,9.88,10,10.58,90,93.02
9.9,9.9,10,10.56,90,93.09
9.92,9.92,10,10.54,90,93.16
9.94,9.94,10,10.51,90,93.16
9.96,9.96,10,10.48,90,93.15
9.98,9.98,10,10.48,90,93.18
